Date,Open,High,Low,Close
1971-09-02,14248.459333333334,14248.459333333334,14248.459333333334,14248.459333333334
1971-09-03,14308.556,14308.556,14308.556,14308.556
1971-09-07,14339.138000000003,14339.138000000003,14339.138000000003,14339.138000000003
1971-09-08,14333.571,14333.571,14333.571,14333.571
1971-09-09,14331.358666666665,14331.358666666665,14331.358666666665,14331.358666666665
1971-09-10,14331.662999999999,14331.662999999999,14331.662999999999,14331.662999999999
1971-09-13,14372.752,14372.752,14372.752,14372.752
1971-09-14,14352.650666666666,14352.650666666666,14352.650666666666,14352.650666666666
1971-09-15,14371.144666666669,14371.144666666669,14371.144666666669,14371.144666666669
1971-09-16,14358.199999999999,14358.199999999999,14358.199999999999,14358.199999999999
1971-09-17,14374.14,14374.14,14374.14,14374.14
1971-09-20,14378.944333333333,14378.944333333333,14378.944333333333,14378.944333333333
1971-09-21,14393.173333333332,14393.173333333332,14393.173333333332,14393.173333333332
1971-09-22,14408.688,14408.688,14408.688,14408.688
1971-09-23,14412.671333333334,14412.671333333334,14412.671333333334,14412.671333333334
1971-09-24,14411.511333333334,14411.511333333334,14411.511333333334,14411.511333333334
1971-09-27,14413.916666666666,14413.916666666666,14413.916666666666,14413.916666666666
1971-09-28,14429.844000000001,14429.844000000001,14429.844000000001,14429.844000000001
1971-09-29,14407.138666666666,14407.138666666666,14407.138666666666,14407.138666666666
1971-09-30,14408.871666666668,14408.871666666668,14408.871666666668,14408.871666666668
1971-10-01,14335.769999999999,14335.769999999999,14335.769999999999,14335.769999999999
1971-10-04,14326.310000000001,14326.310000000001,14326.310000000001,14326.310000000001
1971-10-05,14325.019999999999,14325.019999999999,14325.019999999999,14325.019999999999
1971-10-06,14303.949999999999,14303.949999999999,14303.949999999999,14303.949999999999
1971-10-07,14302.230000000001,14302.230000000001,14302.230000000001,14302.230000000001
1971-10-08,14291.91,14291.91,14291.91,14291.91
1971-10-12,14212.359999999999,14212.359999999999,14212.359999999999,14212.359999999999
1971-10-13,14250.199999999999,14250.199999999999,14250.199999999999,14250.199999999999
1971-10-14,14226.550000000001,14226.550000000001,14226.550000000001,14226.550000000001
1971-10-15,14214.939999999999,14214.939999999999,14214.939999999999,14214.939999999999
1971-10-18,14172.800000000001,14172.800000000001,14172.800000000001,14172.800000000001
1971-10-19,14226.550000000001,14226.550000000001,14226.550000000001,14226.550000000001
1971-10-20,14236.01,14236.01,14236.01,14236.01
1971-10-21,14223.970000000001,14223.970000000001,14223.970000000001,14223.970000000001
1971-10-22,14205.480000000001,14205.480000000001,14205.480000000001,14205.480000000001
1971-10-26,14147.0,14147.0,14147.0,14147.0
1971-10-27,14170.220000000001,14170.220000000001,14170.220000000001,14170.220000000001
1971-10-28,14177.529999999999,14177.529999999999,14177.529999999999,14177.529999999999
1971-10-29,14168.5,14168.5,14168.5,14168.5
1971-11-01,14166.35,14166.35,14166.35,14166.35
1971-11-03,14168.5,14168.5,14168.5,14168.5
1971-11-04,14227.41,14227.41,14227.41,14227.41
1971-11-05,14153.880000000001,14153.880000000001,14153.880000000001,14153.880000000001
1971-11-08,14156.460000000001,14156.460000000001,14156.460000000001,14156.460000000001
1971-11-09,14153.880000000001,14153.880000000001,14153.880000000001,14153.880000000001
1971-11-10,14151.730000000001,14151.730000000001,14151.730000000001,14151.730000000001
1971-11-11,14151.730000000001,14151.730000000001,14151.730000000001,14151.730000000001
1971-11-12,14168.07,14168.07,14168.07,14168.07
1971-11-15,14135.390000000001,14135.390000000001,14135.390000000001,14135.390000000001
1971-11-16,14130.66,14130.66,14130.66,14130.66
1971-11-17,14138.4,14138.4,14138.4,14138.4
1971-11-18,14133.24,14133.24,14133.24,14133.24
1971-11-19,14121.199999999999,14121.199999999999,14121.199999999999,14121.199999999999
1971-11-22,14121.630000000001,14121.630000000001,14121.630000000001,14121.630000000001
1971-11-23,14112.17,14112.17,14112.17,14112.17
1971-11-24,14105.720000000001,14105.720000000001,14105.720000000001,14105.720000000001
1971-11-26,14086.800000000001,14086.800000000001,14086.800000000001,14086.800000000001
1971-11-29,14063.58,14063.58,14063.58,14063.58
1971-11-30,14079.92,14079.92,14079.92,14079.92
