ticker,strategy,sharpe,cagr,trades,maxdd,profit_factor,final_value,avg_oos,min_oos,max_oos,folds_geq_04,n_folds
GC=F,Donchian20_ADX25,0.059746806734588535,0.001617723048610742,226,-0.2989949564138733,1.0451735977648826,104249.09877079117,-0.14921049573440803,-1.6546970573296782,1.5642743940618784,8,23
GC=F,Donchian20_ER03,0.060249996794867075,0.0017724319009129186,342,-0.2490140911167894,1.0629850901459823,104664.4273617212,-0.026136837437409716,-2.103790212792454,1.2549157473549477,7,23
GC=F,Donchian20_Dual,0.3799287558732296,0.010644643813216836,381,-0.09181929834787111,1.4552016111663555,131335.84886783297,0.13682254150465936,-2.7206066071489983,2.1690695573141734,11,23
GC=F,KAMA10_2_30,-0.12696962381613966,-0.0132537476968565,760,-0.4137805973675165,0.9027170868304261,70929.34640472823,-0.2428118206318748,-1.3335698799909204,1.1745770745479065,6,23
GC=F,TDSeqCounter,0.8325663589622262,0.08411640379920393,9,-0.2624676185569954,700114.4850586487,799824.6052481041,0.32966953983664443,-0.7433128476449804,2.0866406088444465,5,23
GC=F,TDCombo,0.010834285888151099,-0.1545533615803678,9,-1.1564540177923786,0.002555626850146493,1327.108337110138,-0.1001817389522557,-1.8072995114868449,1.2716702668186584,3,23
GC=F,TDSequentialBreakout,0.23202413962938045,0.016528164026430092,116,-0.2792997390829642,1.402516761339869,152504.3799649286,-0.06584678710550378,-1.745962954963859,0.6289580022952072,2,23
DX-Y.NYB,Donchian20,0.1879744533011302,0.009247883260262935,189,-0.28287134030121563,1.1773861392550715,133519.58997402614,0.09281297221511198,-2.030864599101722,1.870683579602488,9,29
DX-Y.NYB,Donchian20_ADX25,0.16357815534199494,0.0066381147273471,248,-0.1664319081145435,1.1463461381347975,123092.86276535977,0.11197961917263254,-1.6584002489945682,1.9922688259445918,13,29
DX-Y.NYB,Donchian20_ER03,0.21905398829750078,0.00625044307650513,382,-0.12979435617201684,1.1720619851515903,121612.88095069486,0.054576491668819414,-2.239014908747564,1.547228403598614,12,29
DX-Y.NYB,Donchian20_Dual,0.15500175113831355,0.0021568702374865634,438,-0.06490471553198716,1.1370869586256254,107000.09926277252,-0.001078108106431578,-1.617636114517084,1.6862623356347797,10,29
DX-Y.NYB,KAMA10_2_30,-0.018287032698817377,-0.002374851185356741,945,-0.26080378404429344,0.9784051074814551,92805.29398649823,0.04750093891015137,-1.5609192950778437,1.8535740928922448,10,29
DX-Y.NYB,TDSeqCounter,0.010759880288718819,-0.00045062871553980255,5,-0.3407610004284484,0.8955792582376965,98594.53519482,0.07308967090193876,-0.858343284583916,1.1910970130602079,2,29
DX-Y.NYB,TDCombo,0.05725731619140744,0.001476010065326827,5,-0.2201127612177654,1.5514007862855532,104740.65845337535,-0.0324842274789549,-1.0511704441822125,1.0017156507419513,1,29
DX-Y.NYB,TDSequentialBreakout,0.0,0.0,0,0.0,1.0,100000.0,0.0,0.0,0.0,0,29
EURUSD=X,Donchian20,0.01983170807823935,-0.000517112287726329,106,-0.22423334266431139,0.9890046068772096,98843.37984157073,0.03339024876632059,-2.1761036779116854,1.4273098496657919,8,20
EURUSD=X,Donchian20_ADX25,-0.1766890569118343,-0.008464221518074133,167,-0.19912406008043004,0.8036259356310962,82598.15690235473,-0.14763466348731052,-2.5774894636813963,1.3070395634934358,6,20
EURUSD=X,Donchian20_ER03,-0.28660942011306817,-0.008735524929937233,227,-0.2014580217518381,0.7292809734967713,82091.33176631821,-0.3424083240535096,-2.328996437328302,1.8609990372743226,6,20
EURUSD=X,Donchian20_Dual,-0.14082221433885486,-0.0018857762087054475,225,-0.07732922375089454,0.8724825096802445,95843.4674939689,-0.2799562284280665,-2.3348754995923886,1.3701858418587747,5,20
EURUSD=X,KAMA10_2_30,-0.24552751869030867,-0.015278796841683095,657,-0.31509022982191714,0.8220240587914469,70730.41716726146,-0.22082778618573656,-1.6833495574874775,1.763451765328768,5,20
EURUSD=X,TDSeqCounter,0.08694997974453408,0.0018273242358546327,1,-0.05483123423446618,4192.171753228813,104191.63440129142,0.028247042158544528,0.0,0.5649408431708905,1,20
EURUSD=X,TDCombo,-0.0561140577742274,-0.0017478017897379905,1,-0.10694431094888136,0.0,96141.89815202326,-0.021985371602644355,-0.4397074320528871,0.0,0,20
EURUSD=X,TDSequentialBreakout,-0.1354260269574356,-0.005397999262233721,66,-0.17457495257990138,0.7699962224427335,88538.06038250453,-0.014815206658854848,-0.296304133177097,0.0,0,20
GLD,Donchian20,0.21511089216069476,0.014280963630588506,141,-0.1922032840707844,1.2733495480786663,135692.78459832165,0.2024091551008139,-1.1249373058928647,1.5179589156049471,6,19
GLD,Donchian20_ADX25,0.14653043949010752,0.0072216871306201025,179,-0.1915085567079753,1.1800708595364664,116752.7291141124,0.019532468050026123,-1.933890818911522,1.8645574167911052,7,19
GLD,Donchian20_ER03,0.32664500449967143,0.013863071648299474,283,-0.12043155086127647,1.3944831690689854,134494.47212625036,0.2319611683282673,-1.0124569551364166,1.5964152244798402,8,19
GLD,Donchian20_Dual,0.21280780293927093,0.004804355995418952,327,-0.07387477739594124,1.2591831841361067,110867.54952625532,0.22130677053753287,-1.84530077788517,1.8086224847655485,9,19
GLD,KAMA10_2_30,0.28300782951457476,0.016950190740787408,579,-0.19653055764022315,1.2084826948790195,143590.4420545973,0.3930672075852069,-0.4879808778950428,1.8638327789273843,8,19
GLD,TDSeqCounter,0.7214272589519303,0.07476637199548142,7,-0.22590384626493495,372249.05025322665,472100.8797274786,0.24787684621784054,-0.2748746330260283,2.729053554085343,3,19
GLD,TDCombo,-0.17631691930765792,-0.13615439363366866,7,-0.9822307791218863,0.0034240449838896176,4283.401241289749,-0.11683000203509841,-2.4577527437394098,0.4937961780828694,1,19
GLD,TDSequentialBreakout,0.0,0.0,0,0.0,1.0,100000.0,0.0,0.0,0.0,0,19
IEF,Donchian20,0.23459589914973045,0.013700246587628584,148,-0.15674148411417427,1.2614045059394248,138301.25595029694,0.08121056765017581,-1.5941873082411615,1.9029401688874565,9,21
IEF,Donchian20_ADX25,0.10431739608487636,0.004340429989242445,204,-0.17167997539640859,1.1246156360005954,110872.39065647962,0.0643953703729544,-1.0403220514874048,1.4801728478764486,5,21
IEF,Donchian20_ER03,-0.25177846859207487,-0.010413219534847307,341,-0.26214222070622406,0.8435783357139708,77922.86825071108,-0.39630282586123483,-2.278238521105445,1.5357648305516205,5,21
IEF,Donchian20_Dual,-0.4839082140982106,-0.010344315033808504,380,-0.22797443314412183,0.7626736722801032,78052.26772831423,-0.49195585814180265,-2.363210146227981,1.1074590686348849,3,21
IEF,KAMA10_2_30,-0.00472821879703314,-0.002603446171847823,654,-0.2626837503136516,1.037541231677208,93976.85269549642,-0.22783582111892184,-1.7944802109528797,1.338062122709554,5,21
IEF,TDSeqCounter,0.17706079551066686,0.009619251245160498,7,-0.30974906564534077,2.209868170909292,125625.32830961065,0.11863582414169488,-1.1827006844045627,2.440885243421829,4,21
IEF,TDCombo,-0.0715913354169412,-0.01138889509589125,7,-0.6298716544587646,0.5237455164314399,76112.50858836871,-0.03006810016859735,-2.346602815446285,0.9776602968829563,4,21
IEF,TDSequentialBreakout,0.0,0.0,0,0.0,1.0,100000.0,0.0,0.0,0.0,0,21
